batsmen,bowler,delivery,0s,1s,2s,3s,4s,5s,6s
AB de Villiers,Ravindra Jadeja,3,1,1,1,0,1,0,1
AB de Villiers,Ravindra Jadeja,4,1,1,1,0,1,0,1
AB de Villiers,Ravindra Jadeja,5,1,1,1,0,1,0,1
AB de Villiers,Ravindra Jadeja,6,1,1,1,0,1,0,1
AB de Villiers,Sandeep Lamichhane,1,1,1,1,0,1,0,1
AB de Villiers,Sandeep Lamichhane,3,1,1,1,0,1,0,1
AB de Villiers,Sandeep Lamichhane,4,1,1,1,0,1,0,1
AB de Villiers,Sandeep Lamichhane,5,1,1,1,0,1,0,1
AB de Villiers,Sandeep Lamichhane,6,2,1,1,0,1,0,1
AB de Villiers,Sandeep Sharma,1,2,1,1,0,1,0,1
AB de Villiers,Sandeep Sharma,2,2,2,1,0,1,0,1
AB de Villiers,Sandeep Sharma,3,1,2,1,0,1,0,1
AB de Villiers,Sandeep Sharma,4,1,3,1,0,1,0,1
AB de Villiers,Sandeep Sharma,5,1,1,1,0,1,0,1
AB de Villiers,Sandeep Sharma,6,1,1,1,0,1,0,1
AB de Villiers,Shahbaz Nadeem,1,1,1,1,0,1,0,1
AB de Villiers,Shahbaz Nadeem,4,1,1,1,0,1,0,1
AB de Villiers,Shahbaz Nadeem,5,1,1,1,0,2,0,1
AB de Villiers,Shahbaz Nadeem,6,1,1,1,0,2,0,1
AB de Villiers,Shakib Al Hasan,1,1,1,1,0,2,0,1
AB de Villiers,Shakib Al Hasan,2,1,1,1,0,1,0,1
AB de Villiers,Shakib Al Hasan,3,1,2,1,0,1,0,1
AB de Villiers,Shakib Al Hasan,4,1,1,1,0,1,0,1
AB de Villiers,Shakib Al Hasan,5,1,1,1,0,1,0,1
AB de Villiers,Shakib Al Hasan,6,1,1,1,0,1,0,1
AB de Villiers,Shane Watson,1,1,1,1,0,1,0,1
AB de Villiers,Shane Watson,2,1,1,1,0,1,0,1
AB de Villiers,Shane Watson,5,1,2,1,0,1,0,1
AB de Villiers,Shardul Thakur,1,1,2,1,0,1,0,1
AB de Villiers,Shardul Thakur,2,1,2,1,0,1,0,1
AB de Villiers,Shardul Thakur,3,1,2,1,0,1,0,1
AB de Villiers,Shardul Thakur,4,1,1,1,0,1,0,1
AB de Villiers,Shardul Thakur,5,1,1,1,0,1,0,1
AB de Villiers,Shardul Thakur,6,2,1,1,0,1,0,1
AB de Villiers,Shreyas Gopal,1,2,3,1,0,1,0,1
AB de Villiers,Shreyas Gopal,2,2,2,1,0,1,0,1
AB de Villiers,Shreyas Gopal,3,1,2,1,0,1,0,1
AB de Villiers,Shreyas Gopal,4,2,1,1,1,1,0,1
AB de Villiers,Shreyas Gopal,5,1,2,1,1,1,0,1
AB de Villiers,Shreyas Gopal,6,1,3,1,1,1,0,1
AB de Villiers,Siddarth Kaul,1,1,3,1,1,1,0,1
AB de Villiers,Siddarth Kaul,2,1,3,1,1,1,0,1
AB de Villiers,Siddarth Kaul,3,1,3,1,1,1,0,1
AB de Villiers,Siddarth Kaul,4,1,1,1,1,1,0,1
AB de Villiers,Siddarth Kaul,5,1,1,1,1,1,0,1
AB de Villiers,Siddarth Kaul,6,1,1,1,1,1,0,1
AB de Villiers,Sunil Narine,2,1,1,1,1,1,0,1
AB de Villiers,Sunil Narine,3,1,1,1,1,1,0,1
AB de Villiers,Sunil Narine,4,1,1,1,1,1,0,1
AB de Villiers,Sunil Narine,6,1,1,1,1,1,0,1
AB de Villiers,Trent Boult,2,1,1,1,1,1,0,1
AB de Villiers,Trent Boult,3,1,3,1,1,1,0,1
AB de Villiers,Trent Boult,4,1,1,1,1,1,0,1
AB de Villiers,Trent Boult,5,1,1,1,1,1,0,1
AB de Villiers,Trent Boult,6,1,1,1,1,2,0,1
Aaron Finch,Avesh Khan,3,1,0,0,0,0,0,0
Aaron Finch,Colin de Grandhomme,2,1,1,0,0,0,0,0
Aaron Finch,Colin de Grandhomme,3,1,2,0,0,0,0,0
Aaron Finch,Colin de Grandhomme,4,1,1,0,0,0,0,0
Aaron Finch,Colin de Grandhomme,5,1,1,0,0,0,0,0
Aaron Finch,Colin de Grandhomme,6,1,1,0,0,0,0,0
Aaron Finch,Deepak Chahar,1,1,1,0,0,1,0,0
Aaron Finch,Deepak Chahar,2,1,1,0,0,1,0,0
Aaron Finch,Deepak Chahar,3,1,1,0,0,1,0,0
Aaron Finch,Deepak Chahar,5,1,1,0,0,1,0,0
Aaron Finch,Hardik Pandya,1,1,2,0,0,1,0,0
Aaron Finch,Hardik Pandya,2,1,1,0,0,1,0,0
Aaron Finch,Hardik Pandya,3,1,1,0,0,1,0,0
Aaron Finch,Hardik Pandya,4,1,1,1,0,1,0,0
Aaron Finch,Hardik Pandya,5,1,1,1,0,1,0,0
Aaron Finch,Hardik Pandya,6,1,1,1,0,1,0,1
Aaron Finch,Hardik Pandya,7,1,1,1,0,1,0,1
Aaron Finch,Imran Tahir,2,1,1,1,0,1,0,1
Aaron Finch,Jasprit Bumrah,1,1,1,1,0,1,0,1
Aaron Finch,Jasprit Bumrah,2,1,1,1,0,1,0,1
Aaron Finch,Jasprit Bumrah,3,1,1,1,0,1,0,1
Aaron Finch,Jasprit Bumrah,6,1,1,1,0,1,0,1
Aaron Finch,Javon Searles,1,1,1,1,0,1,0,1
Aaron Finch,Javon Searles,2,1,1,1,0,1,0,1
Aaron Finch,Javon Searles,4,1,1,1,0,1,0,1
Aaron Finch,Krunal Pandya,2,1,1,1,0,1,0,1
Aaron Finch,Krunal Pandya,3,1,1,1,0,1,0,1
Aaron Finch,Krunal Pandya,4,1,3,1,0,1,0,1
Aaron Finch,Krunal Pandya,5,1,1,1,0,1,0,1
Aaron Finch,Krunal Pandya,6,1,1,1,0,1,0,1
Aaron Finch,Kuldeep Yadav,1,1,1,1,0,1,0,1
Aaron Finch,Kuldeep Yadav,2,1,1,1,0,1,0,1
Aaron Finch,Kuldeep Yadav,3,1,2,1,0,1,0,1
Aaron Finch,Kuldeep Yadav,6,1,1,1,0,1,0,1
Aaron Finch,Lungi Ngidi,3,1,1,1,0,1,0,1
Aaron Finch,Lungi Ngidi,4,1,1,1,0,1,0,1
Aaron Finch,Mayank Markande,2,1,1,1,0,1,0,1
Aaron Finch,Mayank Markande,3,1,2,1,0,1,0,1
Aaron Finch,Mayank Markande,5,1,2,1,0,1,0,1
Aaron Finch,Mayank Markande,7,1,1,1,0,1,0,1
Aaron Finch,Mitchell McClenaghan,1,1,1,1,0,1,0,1
Aaron Finch,Mitchell McClenaghan,4,1,1,1,0,1,0,1
Aaron Finch,Mitchell McClenaghan,5,1,1,1,0,1,0,1
Aaron Finch,Moeen Ali,1,1,1,1,0,1,0,1
Aaron Finch,Moeen Ali,2,1,1,1,0,1,0,1
Aaron Finch,Moeen Ali,3,1,1,1,0,1,0,1
Aaron Finch,Moeen Ali,5,1,1,1,0,1,0,1
Aaron Finch,Mohammed Siraj,1,1,1,1,0,1,0,1
Aaron Finch,Mohammed Siraj,2,1,1,1,0,1,0,1
Aaron Finch,Mohammed Siraj,3,1,1,1,0,1,0,1
Aaron Finch,Mohammed Siraj,4,1,1,1,0,1,0,1
Aaron Finch,Mohammed Siraj,5,1,1,1,0,1,0,1
Aaron Finch,Mohammed Siraj,6,1,1,1,0,1,0,1
Aaron Finch,Piyush Chawla,1,1,1,1,0,1,0,1
Aaron Finch,Piyush Chawla,2,1,1,1,0,1,0,1
Aaron Finch,Piyush Chawla,4,1,1,1,0,1,0,1
Aaron Finch,Piyush Chawla,6,1,2,1,0,1,0,1
Aaron Finch,Rashid Khan,3,1,1,1,0,1,0,1
Aaron Finch,Rashid Khan,4,1,1,1,0,1,0,1
Aaron Finch,Rashid Khan,5,1,1,1,0,1,0,1
Aaron Finch,Shakib Al Hasan,1,1,1,1,0,1,0,1
