match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
7894,1,Mumbai Indians,Chennai Super Kings,10,3,Ishan Kishan,AS Yadav,M Wood,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,10,4,AS Yadav,Ishan Kishan,M Wood,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,10,5,Ishan Kishan,AS Yadav,M Wood,0,0,0,1,0,0,1,1,2,,,
7894,1,Mumbai Indians,Chennai Super Kings,10,6,AS Yadav,Ishan Kishan,M Wood,0,0,0,0,0,0,0,0,0,,,
7894,1,Mumbai Indians,Chennai Super Kings,11,1,Ishan Kishan,AS Yadav,Imran Tahir,0,0,0,0,0,0,4,0,4,,,
7894,1,Mumbai Indians,Chennai Super Kings,11,2,Ishan Kishan,AS Yadav,Imran Tahir,0,0,0,0,0,0,6,0,6,,,
7894,1,Mumbai Indians,Chennai Super Kings,11,3,Ishan Kishan,AS Yadav,Imran Tahir,0,0,0,0,0,0,4,0,4,,,
7894,1,Mumbai Indians,Chennai Super Kings,11,4,Ishan Kishan,AS Yadav,Imran Tahir,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,11,5,AS Yadav,Ishan Kishan,Imran Tahir,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,11,6,Ishan Kishan,AS Yadav,Imran Tahir,0,0,0,0,0,0,2,0,2,,,
7894,1,Mumbai Indians,Chennai Super Kings,12,1,AS Yadav,Ishan Kishan,Dwayne Bravo,0,0,0,0,0,0,4,0,4,,,
7894,1,Mumbai Indians,Chennai Super Kings,12,2,AS Yadav,Ishan Kishan,Dwayne Bravo,0,0,0,0,0,0,4,0,4,,,
7894,1,Mumbai Indians,Chennai Super Kings,12,3,AS Yadav,Ishan Kishan,Dwayne Bravo,0,0,0,0,0,0,4,0,4,,,
7894,1,Mumbai Indians,Chennai Super Kings,12,4,AS Yadav,Ishan Kishan,Dwayne Bravo,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,12,5,Ishan Kishan,AS Yadav,Dwayne Bravo,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,12,6,AS Yadav,Ishan Kishan,Dwayne Bravo,0,0,0,0,0,0,0,0,0,,,
7894,1,Mumbai Indians,Chennai Super Kings,13,1,Ishan Kishan,AS Yadav,SR Watson,0,0,0,0,0,0,1,0,1,,,
7894,1,Mumbai Indians,Chennai Super Kings,13,2,AS Yadav,Ishan Kishan,SR Watson,0,0,0,0,0,0,0,0,0,,,
7894,1,Mumbai Indians,Chennai Super Kings,13,3,AS Yadav,Ishan Kishan,SR Watson,0,0,0,0,0,0,0,0,0,AS Yadav,caught,Harbhajan Singh
